,city,latitude,temperature_farenheit,humidity_percent,cloudiness_percent,windspeed_mph
0,woodstock,43.13,68.76,77,90,4.7
1,faanui,-16.48,78.1,83,64,12.86
2,vaini,-21.2,73.4,88,40,5.82
3,puerto ayora,-0.74,66.99,90,7,1.99
4,tuatapere,-46.13,39.0,83,45,3.0
5,hithadhoo,-0.6,83.84,70,84,2.17
6,saskylakh,71.92,65.82,35,100,22.37
7,mataura,-46.19,39.0,83,2,3.0
8,samarai,-10.62,77.5,86,62,16.87
9,rikitea,-23.12,73.47,87,100,3.13
10,la rioja,42.25,68.0,52,0,10.29
11,iqaluit,63.75,45.34,75,20,2.24
12,mayya,61.73,84.2,32,92,4.47
13,punta arenas,-53.15,29.07,92,1,5.82
14,castro,-24.79,43.7,96,22,4.27
15,albany,42.6,70.0,86,95,1.99
16,aklavik,68.22,51.8,87,90,13.87
17,chokurdakh,70.63,38.89,91,100,9.17
18,ushuaia,-54.8,30.2,74,40,4.7
19,georgetown,5.41,84.09,83,20,9.17
20,carnarvon,-24.87,75.2,88,90,10.29
21,acapulco,16.86,78.51,82,43,5.41
22,bredasdorp,-34.53,60.8,55,0,5.82
23,torbay,47.67,48.92,100,90,20.8
24,kaputa,-8.47,72.95,39,0,10.29
25,podporozhye,60.91,56.21,81,100,10.47
26,nelson bay,-32.72,55.96,71,90,12.75
27,karratha,-20.74,74.48,38,0,12.41
28,kloulklubed,7.04,82.4,78,75,9.17
29,dingle,11.0,83.95,81,100,8.59
30,nipawin,53.37,59.0,77,1,12.75
31,port alfred,-33.59,63.55,28,0,2.57
32,volnovakha,47.6,73.0,100,33,10.0
33,estacion coahuila,32.19,87.84,19,1,1.36
34,ribeira grande,38.52,69.8,77,75,2.24
35,tuktoyaktuk,69.45,42.64,88,100,9.17
36,cayenne,4.93,73.4,100,20,6.64
37,walvis bay,-22.96,72.73,11,0,18.34
38,nabire,-3.37,79.38,83,88,1.59
39,rio gallegos,-51.62,26.6,92,40,5.82
40,magangue,9.24,74.8,92,76,1.63
41,jamestown,42.1,69.57,72,1,8.05
42,barinas,8.62,70.68,87,100,2.8
43,bathsheba,13.22,80.6,78,40,14.99
44,sao joao da barra,-21.64,64.42,85,75,8.12
45,kahului,20.89,73.62,61,20,8.05
46,saint-philippe,-21.36,72.57,65,2,13.87
47,armidale,-30.52,41.0,70,84,4.99
48,pevek,69.7,46.09,93,100,2.86
49,butaritari,3.07,83.46,64,75,7.47
50,penzance,50.12,61.45,93,75,11.41
51,taoudenni,22.68,101.23,26,0,10.54
52,kapaa,22.08,76.66,78,75,11.41
53,tongliao,43.61,96.39,28,6,15.3
54,tasiilaq,65.61,44.6,70,20,4.7
55,new norfolk,-42.78,42.01,88,70,0.96
56,yellowknife,62.46,50.76,93,20,4.7
57,margate,51.38,64.33,75,74,8.01
58,hasaki,35.73,69.75,78,75,6.93
59,east london,-33.02,68.0,24,0,3.36
60,dikson,73.51,40.15,94,47,6.04
61,bluff,-46.6,39.0,83,1,3.0
62,pacific grove,36.62,56.73,82,90,5.82
63,cape town,-33.93,60.89,51,0,2.24
64,kruisfontein,-34.0,60.64,30,0,3.62
65,flinders,-34.58,55.74,69,71,5.99
66,busselton,-33.65,56.82,65,100,14.79
67,khatanga,71.97,47.91,93,100,13.33
68,asyut,27.18,96.46,14,0,14.81
69,ugoofaaru,5.67,83.64,77,100,13.51
70,vila velha,-20.33,68.52,82,40,9.17
71,talnakh,69.49,53.6,71,40,17.9
72,pangnirtung,66.15,57.02,38,8,2.06
73,vila do maio,15.13,75.2,83,40,3.36
74,hobart,-42.88,42.84,87,75,3.36
75,vila franca do campo,37.72,66.2,82,75,6.93
76,atuona,-9.8,79.77,77,5,16.6
77,vestmanna,62.16,51.8,100,90,14.99
78,chicama,-7.84,61.63,85,60,4.43
79,ucluelet,48.93,57.0,92,98,11.99
80,victoria,22.29,88.14,68,72,11.01
81,hambantota,6.12,84.2,79,75,18.34
82,bethel,41.37,64.98,93,90,6.93
83,durazno,-33.41,37.78,77,67,7.23
84,isangel,-19.55,69.8,88,22,3.36
85,mollendo,-17.02,59.79,78,64,8.5
86,nikolskoye,59.7,61.86,59,75,13.42
87,avarua,-21.21,68.0,77,60,2.24
88,petropavlovsk-kamchatskiy,53.05,55.4,100,40,8.95
89,gurupa,-1.41,71.08,97,21,2.86
90,kihurio,-4.47,75.54,55,81,13.33
91,teknaf,20.86,85.84,74,91,9.4
92,danesti,46.52,73.99,26,80,5.1
93,churapcha,62.0,82.09,32,64,7.16
94,mar del plata,-38.0,45.57,70,100,13.53
95,olafsvik,64.89,51.62,88,98,11.5
96,lorengau,-2.02,83.1,69,46,5.88
97,marathon,44.9,51.1,100,90,1.32
98,riyadh,24.69,107.6,10,22,11.41
99,kirakira,-10.45,77.77,83,91,9.26
100,qaanaaq,77.48,41.59,83,77,4.76
101,ponta do sol,32.67,69.51,56,20,13.87
102,zhigansk,66.77,73.47,48,100,2.33
103,guerrero negro,27.98,66.11,86,17,13.24
104,sorland,67.67,57.2,82,75,5.82
105,pisco,-13.7,60.04,87,90,2.24
106,bom jesus,-9.07,67.86,74,0,3.4
107,thunder bay,48.4,57.11,100,75,2.24
108,saint george,37.1,82.45,18,1,9.17
109,orlik,52.52,59.14,52,69,7.56
110,ludvika,60.15,67.08,72,40,3.36
111,kaitangata,-46.28,46.0,68,44,4.0
112,qasigiannguit,68.82,46.4,75,49,3.36
113,tromso,69.65,59.0,72,75,12.75
114,itoman,26.12,78.46,83,75,11.41
115,maragogi,-9.01,74.88,83,26,12.66
116,nioro,13.35,81.18,76,78,5.82
117,hovd,48.01,71.92,39,25,11.74
118,luwingu,-10.26,66.27,37,0,13.82
119,adrar,20.5,91.09,21,12,13.96
120,islamkot,24.7,100.31,42,100,9.64
121,havoysund,71.0,57.97,87,89,2.24
122,debre sina,9.85,63.95,64,78,5.21
123,rabo de peixe,37.8,66.2,82,75,6.93
124,pak chong,14.71,85.44,70,96,6.53
125,surt,31.21,85.53,41,0,4.43
126,manubul,5.47,81.32,80,100,9.82
127,bonavista,48.65,48.99,79,76,5.99
128,wanning,18.8,87.28,71,91,14.97
129,san pedro,14.35,92.48,60,33,7.0
130,goderich,43.75,70.99,90,100,1.99
131,kualakapuas,-3.01,81.05,81,98,3.76
132,kabinda,-6.13,85.19,21,4,12.28
133,antsirabe,-19.85,60.24,61,96,8.86
134,kendrapara,20.5,89.6,75,40,13.87
135,geraldton,-28.77,66.2,82,93,13.87
136,caconda,-13.73,65.39,24,0,13.27
137,gorontalo,0.54,79.63,83,88,3.83
138,shakhtinsk,49.71,83.17,28,0,19.01
139,deputatskiy,69.3,45.84,61,79,10.11
140,barrow,71.29,35.6,93,90,8.05
141,asosa,10.07,69.94,82,100,4.97
142,masumbwe,-3.63,79.25,38,51,11.05
143,esperance,-33.87,68.0,56,0,10.29
144,gat,31.61,84.56,58,0,3.0
145,hrubieszow,50.8,71.02,68,89,6.11
146,sistranda,63.73,57.79,100,90,3.36
147,leningradskiy,69.38,42.15,89,100,11.63
148,taldan,53.67,87.03,38,62,2.98
149,ponta delgada,37.73,66.2,82,75,6.93
150,kainantu,-6.29,62.46,93,28,2.06
151,rawson,-43.3,44.47,78,96,8.86
152,saint anthony,45.02,62.22,82,1,5.82
153,norman wells,65.28,59.0,93,90,2.24
154,mount gambier,-37.83,46.4,93,65,2.77
155,landskrona,55.87,61.5,72,29,11.41
156,paragominas,-2.97,67.69,98,0,1.52
157,ilulissat,69.22,46.4,75,36,3.36
158,takoradi,4.88,77.65,75,99,7.87
159,vostok,46.49,72.75,75,89,2.68
160,lebu,-37.62,49.46,88,49,10.8
161,ajdabiya,30.76,87.87,31,0,7.31
162,muros,42.78,72.0,56,16,7.0
163,salina cruz,16.17,77.58,83,79,8.48
164,hermanus,-34.42,57.0,63,0,1.99
165,druzhinino,56.79,94.21,26,0,5.48
166,kodiak,57.79,57.2,71,1,9.17
167,cap malheureux,-19.98,77.0,63,1,8.99
168,antofagasta,-23.65,53.6,87,90,3.36
169,san quintin,30.48,65.26,90,21,9.93
170,caravelas,-17.71,70.95,84,73,12.35
171,broome,42.25,65.39,88,1,11.41
172,bengkulu,-3.8,84.61,70,17,4.59
173,sambava,-14.27,78.06,62,0,16.2
174,clyde river,70.47,59.0,58,20,10.29
175,aguazul,5.17,70.86,83,98,2.57
176,alofi,-19.06,71.6,83,98,9.17
177,maxixe,-23.86,71.29,49,40,13.87
178,sayanogorsk,53.09,68.74,50,41,5.75
179,ostrovnoy,68.05,63.18,53,85,6.42
180,sorong,-0.88,81.45,78,100,5.82
181,loubomo,-4.2,76.55,64,35,4.41
182,los llanos de aridane,28.66,69.49,69,75,12.75
183,auki,-8.77,77.67,83,97,5.37
184,coquimbo,-29.95,46.4,93,87,4.7
185,numan,9.47,82.89,69,59,8.61
186,grindavik,63.84,50.0,100,75,10.29
187,severo-kurilsk,50.68,50.79,91,67,5.84
188,tevaitoa,-16.78,78.4,81,8,14.41
189,lavrentiya,65.58,46.51,89,55,1.88
190,fukue,32.69,73.4,83,75,4.7
191,buala,-8.14,79.72,73,69,4.59
192,orvieto,42.72,76.26,57,0,1.99
193,yulara,-25.24,66.2,19,0,8.05
194,carson city,39.16,63.75,24,1,1.34
195,sao filipe,14.9,75.25,85,42,8.86
196,lata,40.16,84.96,35,0,5.75
197,fuerte olimpo,-21.04,68.79,72,17,2.13
198,the valley,18.22,80.15,74,20,5.82
199,ruiselede,51.06,60.3,94,99,7.0
200,portland,45.52,63.45,77,1,8.05
201,bambous virieux,-20.34,76.05,69,75,12.75
202,biak,-0.91,77.94,83,79,6.22
203,alexandria,31.22,79.83,58,0,14.81
204,upernavik,72.79,42.93,86,94,0.4
205,airai,-8.93,63.0,96,67,3.71
206,tiksi,71.69,36.36,85,30,19.71
207,provideniya,64.38,50.54,82,11,3.18
208,valparaiso,-33.04,50.0,87,90,3.36
209,kampene,-3.6,86.16,40,29,4.68
210,dolores,-36.31,45.07,71,96,7.11
211,anadyr,64.75,55.18,87,15,4.47
212,hilo,19.73,70.88,83,90,4.7
213,luganville,-15.53,77.0,83,75,2.24
214,zmeinogorsk,51.16,73.6,53,35,23.69
215,fulton,33.77,72.21,88,1,3.04
216,mount isa,-20.73,69.8,19,0,10.29
217,darovskoy,58.77,74.71,46,0,10.36
218,dunedin,-45.87,44.01,72,87,8.23
219,chagoda,59.16,56.44,95,100,7.2
220,kralendijk,12.15,80.6,78,28,11.41
221,portadown,54.42,62.26,93,90,6.93
222,laguna,38.42,62.13,67,1,6.93
223,mahebourg,-20.41,75.2,69,75,12.75
224,deniliquin,-35.53,44.69,82,0,5.23
225,meulaboh,4.14,84.47,75,66,6.6
226,komsomolskiy,40.43,95.0,20,77,6.93
227,bereznik,62.86,54.12,95,100,8.25
228,nizhnyaya poyma,56.16,66.74,49,87,8.81
229,chapais,49.78,64.4,68,90,10.29
230,sangar,63.92,76.53,44,100,2.8
231,kastamonu,41.5,68.0,77,75,3.36
232,kavaratti,10.57,84.2,79,90,9.17
233,praia da vitoria,38.73,68.0,82,75,10.98
234,ambilobe,-13.2,92.46,29,0,0.87
235,mezen,65.85,62.74,47,81,9.84
236,grand gaube,-20.01,77.0,63,2,8.99
237,dwarka,22.24,82.54,85,100,17.4
238,atar,20.52,86.2,41,23,7.78
239,businga,3.33,77.23,84,100,2.44
240,caldwell,43.66,63.61,59,1,3.36
241,sayhat,26.49,113.9,9,0,13.87
242,celestun,20.87,79.56,83,37,10.33
243,comodoro rivadavia,-45.87,33.8,87,90,3.36
244,asau,46.43,70.97,68,75,2.24
245,souillac,-20.52,75.2,69,75,12.75
246,fairbanks,64.84,57.06,72,75,4.7
247,skjervoy,70.03,62.6,67,98,11.41
248,half moon bay,37.46,56.88,93,90,10.29
249,lakes entrance,-37.88,48.0,95,75,6.76
250,huilong,31.81,77.4,76,9,3.0
251,ahuimanu,21.44,76.75,73,75,5.82
252,tigil,57.8,55.09,95,100,5.64
253,marsh harbour,26.54,81.66,78,3,11.86
254,grand-santi,4.25,70.21,97,24,1.52
255,yar-sale,66.83,59.27,48,73,11.52
256,camapua,-19.53,68.65,46,30,3.6
257,port-cartier,50.03,50.81,76,75,4.7
258,svetlogorsk,52.63,68.85,52,89,5.39
259,birsk,55.42,85.33,58,42,10.42
260,daman,20.42,80.31,90,100,13.11
261,faro,37.02,87.8,33,19,13.87
262,oktyabrskoye,43.06,82.2,48,11,6.71
263,mackay,-21.15,56.43,63,0,6.93
264,arraial do cabo,-22.97,64.4,93,75,2.24
265,nancha,47.13,88.79,50,28,3.11
266,beaverlodge,55.22,59.0,87,75,4.7
267,panaba,21.28,75.07,96,17,4.81
268,vanimo,-2.67,80.73,79,3,5.21
269,safford,32.83,82.4,42,1,4.7
270,tianpeng,30.99,85.66,97,100,3.53
271,nanortalik,60.14,43.75,82,100,9.46
272,pavilosta,56.89,74.39,50,0,10.29
273,chokwe,-24.53,67.98,49,15,10.92
274,jaguariaiva,-24.25,46.0,99,9,1.99
275,kieta,-6.22,80.4,78,63,5.03
276,la ronge,55.1,57.2,87,75,11.41
277,cherskiy,68.75,52.0,54,7,4.41
278,meshchovsk,54.32,55.36,92,100,12.01
279,presidencia roque saenz pena,-26.79,50.14,79,100,2.51
280,amapa,1.0,69.22,98,18,1.72
281,codrington,-38.27,45.48,88,0,6.46
282,bac lieu,9.29,85.71,71,32,10.02
283,trelew,-43.25,42.67,76,93,9.4
284,viru,-8.42,64.06,76,72,2.28
285,buarcos,40.17,82.85,53,0,2.24
286,khani,41.96,86.0,58,75,6.93
287,cabedelo,-6.98,75.4,84,62,12.64
288,sedhiou,12.71,80.83,78,46,6.4
289,najran,17.49,95.0,24,40,6.93
290,erenhot,43.65,92.77,19,100,13.76
291,kamenka,51.32,75.0,39,0,11.99
292,port hardy,50.7,58.66,90,100,2.33
293,kavieng,-2.57,82.83,73,36,3.53
294,tlaltenango,19.17,55.36,78,11,4.05
295,katsuura,35.13,73.54,83,75,12.75
296,calama,-22.47,37.4,6,0,23.04
297,mayumba,-3.43,75.4,76,28,5.39
298,honiara,-9.43,78.8,88,20,2.48
299,nizhniy kuranakh,58.84,81.81,47,42,5.26
300,bousso,10.48,84.07,66,72,2.82
301,naze,28.37,80.51,94,75,5.82
302,vardo,70.37,66.2,59,2,18.34
303,adilabad,19.67,87.1,69,62,12.64
304,bambanglipuro,-7.95,81.36,76,16,12.53
305,bowen,-20.02,59.0,67,0,4.7
306,srednekolymsk,67.45,52.56,47,78,5.99
307,tommot,58.96,82.99,46,18,4.52
308,sens,48.17,63.7,85,97,7.4
309,pokhara,28.23,81.59,75,89,3.42
310,aksha,50.28,77.76,56,100,7.74
311,road town,18.42,78.39,83,1,6.93
312,zaysan,47.47,90.07,24,11,11.14
313,olinda,-8.01,73.4,94,75,6.93
314,trebisacce,39.87,84.99,32,0,4.0
315,san ramon de la nueva oran,-23.13,49.73,73,42,1.1
316,vossevangen,60.62,59.0,84,97,3.38
317,palmer,42.16,63.14,72,90,1.63
318,muyezerskiy,63.93,62.65,45,100,10.29
319,namtsy,62.72,84.2,32,95,4.47
320,klaksvik,62.23,51.8,100,90,14.99
321,massa marittima,43.05,82.0,35,5,2.86
322,pacifica,37.61,55.53,93,90,10.29
323,longyearbyen,78.22,44.6,81,75,3.36
324,kuah,6.33,83.17,94,40,2.24
325,lethem,3.38,72.91,90,100,4.23
326,arona,28.1,73.09,73,20,5.82
327,tabou,4.42,76.33,71,92,6.44
328,lagoa,39.05,67.5,76,100,11.23
329,semey,50.41,89.6,11,42,22.37
330,saldanha,-33.01,62.6,44,0,2.24
331,zhezkazgan,47.8,93.2,17,0,20.13
332,chuy,-33.7,39.7,75,0,3.91
333,cockburn town,21.46,81.54,77,19,15.48
334,kupang,-10.17,79.63,69,47,8.68
335,cidreira,-30.18,51.82,71,24,11.3
336,berlevag,70.86,60.8,63,35,8.05
337,colborne,44.0,67.15,83,1,2.24
338,killarney,52.05,59.0,100,90,8.05
339,pauini,-7.71,70.21,88,0,1.12
340,sinegorsk,47.17,57.2,87,75,11.18
341,yola,9.2,83.1,67,56,5.03
342,kibala,9.11,69.8,94,40,2.26
343,muisne,0.6,74.5,86,100,6.22
344,forbes,-33.38,46.99,72,88,6.33
345,mucurapo,10.67,75.7,89,87,6.49
346,ahipara,-35.17,57.76,91,91,6.35
347,oskarshamn,57.26,68.32,68,96,5.82
348,hailar,49.2,88.52,39,22,10.8
349,nishihara,26.18,78.4,83,75,11.41
350,husavik,66.04,53.6,87,75,5.82
351,bandarbeyla,9.49,92.5,39,100,32.77
352,sisimiut,66.94,43.43,80,99,1.16
353,standerton,-26.93,54.0,25,0,3.0
354,suluq,31.67,89.02,32,0,10.47
355,christchurch,-43.53,42.37,70,99,2.24
356,kyshtovka,56.55,82.2,64,0,10.58
357,vagur,61.47,53.35,96,100,25.64
358,pueblo nuevo,23.38,58.46,79,57,4.52
359,egvekinot,66.32,49.33,90,97,2.95
360,moshenskoye,58.51,55.17,97,100,7.72
361,cabo san lucas,22.89,82.99,62,0,1.01
362,gorodovikovsk,46.09,73.51,55,95,10.02
363,iranshahr,27.2,105.8,26,40,6.93
364,sicuani,-14.27,39.45,67,0,0.78
365,tura,25.52,85.33,76,77,4.94
366,blyth,55.13,63.64,72,20,12.75
367,san cristobal,7.77,63.57,90,81,2.44
368,kabanjahe,3.1,86.0,57,95,1.36
369,yanam,16.73,84.2,79,75,13.87
370,taltal,-25.4,54.81,60,0,5.35
371,alakurtti,66.97,55.99,90,58,6.89
372,barra patuca,15.8,79.3,88,69,4.52
373,katangli,51.71,63.23,74,87,4.83
374,hosakote,14.28,80.71,63,99,18.14
375,ibotirama,-12.19,63.5,82,0,2.89
376,big rapids,43.7,65.71,93,90,8.05
377,weymouth,42.22,55.49,87,15,3.36
378,sao gabriel da cachoeira,-0.13,70.18,97,91,0.47
379,port shepstone,-30.74,63.48,29,0,1.9
380,port lincoln,-34.73,54.01,86,2,8.01
381,freeport,40.66,69.1,68,75,4.7
382,praia,14.92,75.2,83,40,3.36
383,lompoc,34.64,56.3,87,6,3.36
384,kentau,43.52,98.49,14,0,14.7
385,simao,22.79,76.01,88,100,3.4
386,mujiayingzi,42.12,88.27,34,67,10.4
387,altay,47.87,86.13,22,11,8.48
388,belaya gora,68.53,45.03,72,99,6.87
389,coahuayana,18.73,77.34,86,69,2.44
390,novo aripuana,-5.12,70.45,74,0,0.56
391,jalu,29.03,88.79,29,0,4.63
392,sur,22.57,92.61,51,0,7.47
393,pontes e lacerda,-15.23,68.85,60,31,1.52
394,otradnoye,59.78,61.86,59,75,13.42
395,vao,-22.67,69.98,68,2,18.92
396,funadhoo,6.15,84.04,76,100,15.75
397,narsaq,60.92,48.2,70,75,2.24
398,dodge city,37.75,70.63,100,20,6.93
399,parry sound,45.35,72.0,80,100,1.01
400,binzhou,37.37,93.0,46,100,1.01
401,ratnagiri,16.98,80.64,83,100,13.69
402,waipawa,-41.41,45.91,80,95,5.01
403,kosh-agach,50.0,70.77,35,100,5.97
404,jumla,29.27,72.0,93,87,1.01
405,nouadhibou,20.93,69.8,88,75,5.82
406,emmett,43.87,63.28,49,0,4.29
407,thompson,55.74,55.4,100,75,10.29
408,ossora,59.24,54.32,95,100,2.37
409,iisalmi,63.56,66.2,52,40,8.05
410,ionia,42.99,66.36,93,90,5.82
411,saint-pierre,-21.34,73.69,65,2,13.87
412,el colorado,-26.31,51.04,92,99,3.89
413,qaqortoq,60.72,48.2,70,75,2.24
414,soderhamn,61.3,75.99,45,80,4.0
415,manzanillo,20.34,75.87,91,0,7.9
416,mayahi,13.96,84.74,57,0,9.48
417,mandalgovi,45.76,62.47,53,0,25.93
418,west monroe,32.52,78.91,88,1,4.7
419,omsukchan,62.53,58.03,53,86,2.35
420,pandamatenga,-18.53,62.37,41,8,12.17
421,vitim,59.45,55.65,91,100,5.5
422,kristinehamn,59.31,66.7,72,3,5.82
423,hobyo,5.35,86.29,55,99,27.16
424,constitucion,-35.33,52.79,87,97,12.84
425,aswan,24.09,103.69,10,0,14.03
426,kuytun,54.34,60.85,52,98,7.43
427,fryanovo,56.13,61.79,82,75,15.66
428,yenangyaung,20.47,95.29,48,97,11.52
429,saint-augustin,51.23,50.54,66,0,1.72
430,gohand,25.7,99.72,41,67,11.79
431,sao mateus do sul,-25.87,44.15,94,46,2.19
432,kribi,2.95,77.63,83,83,2.8
433,seoul,37.57,83.61,54,20,7.81
434,sueyoshi,31.65,68.59,100,75,4.7
435,baykit,61.67,56.05,85,100,5.91
436,san patricio,19.22,78.1,86,67,2.37
437,madison heights,42.49,73.98,94,90,4.7
438,roald,62.58,61.14,72,40,2.24
439,broken hill,-31.95,57.2,35,0,6.93
440,kulu,39.1,83.75,33,0,1.83
441,barra,-11.09,66.69,72,11,3.42
442,svetlaya,46.54,64.09,84,25,10.94
443,pimentel,-6.84,61.12,91,35,10.42
444,boksitogorsk,59.47,54.66,96,100,8.7
445,malibu,34.01,57.02,97,1,3.85
446,kokopo,-4.35,79.63,79,2,8.88
447,shahrud,36.42,82.78,30,3,15.43
448,hamilton,39.18,77.81,65,75,3.36
449,north ogden,41.31,64.04,32,1,4.7
450,lumsden,50.65,53.78,93,5,9.17
451,golden,39.76,60.98,67,1,3.36
452,pitimbu,-7.47,75.87,84,36,13.76
453,bandar,2.05,81.95,78,100,2.01
454,tanout,14.97,87.24,46,0,7.72
455,chake chake,-5.25,78.96,62,80,24.4
456,coihaique,-45.58,33.8,95,90,3.36
457,manuk mangkaw,4.8,78.91,84,100,9.62
458,anloga,5.79,77.0,83,40,11.41
459,surin,14.88,87.8,66,40,8.05
460,gbarnga,7.0,71.71,83,100,2.08
461,padang,-0.95,83.98,74,30,3.53
462,wuchi,29.38,64.69,98,100,2.13
463,aykhal,66.0,66.2,48,75,13.42
464,lasa,46.62,58.3,81,75,6.93
465,haines junction,60.75,49.21,84,95,2.37
466,bartica,6.4,73.4,100,40,4.7
467,barrancas,10.96,72.07,87,4,1.79
468,hami,42.8,93.88,14,29,15.48
469,xichang,27.9,81.07,61,98,4.27
470,aberdeen,57.14,63.23,82,40,4.7
471,mogadishu,2.04,80.19,74,100,24.02
472,ipoh,4.58,82.2,83,40,4.7
473,hurghada,27.26,92.53,36,0,22.28
474,jimeta,9.28,82.96,67,46,5.91
475,hofn,64.25,53.6,87,90,16.11
476,zhanaozen,43.3,100.81,10,86,4.68
477,kurchum,48.57,91.22,23,29,14.67
478,kenai,60.55,56.28,76,1,5.82
479,hearst,49.68,58.77,64,67,7.54
480,houston,29.76,80.6,88,1,8.05
481,crowley,30.21,77.56,94,1,3.58
482,maldonado,-34.67,41.0,80,6,4.7
483,lithgow,-33.48,55.83,62,90,3.36
484,carballo,43.21,66.38,68,48,8.05
485,north bend,43.41,56.55,100,90,19.46
486,tiarei,-17.53,75.09,88,75,4.7
487,klyuchi,52.27,81.88,39,36,17.27
488,kamaishi,39.27,66.2,82,75,8.05
489,chimoio,-19.12,59.83,67,75,19.46
490,belyy yar,53.6,71.6,43,69,4.47
491,iskateley,67.68,56.35,61,89,6.22
492,chapada dos guimaraes,-15.46,66.2,72,0,2.24
493,mineiros,-17.57,63.61,52,0,4.83
494,emerald,-23.53,61.68,24,0,3.36
495,pochutla,15.74,77.0,89,5,4.0
496,gamba,-2.65,75.65,77,39,5.68
497,marquette,46.53,61.02,89,0,7.7
498,mehamn,71.04,55.4,76,69,4.7
499,neiafu,-18.65,76.73,79,64,17.76
500,kovur,14.48,91.94,50,91,12.53
501,puerto del rosario,28.5,77.0,69,20,14.99
502,teluk nibung,3.0,86.49,63,12,5.88
503,ende,-8.84,78.37,67,20,2.75
504,kalinovskoye,44.86,79.14,42,5,13.24
505,zeya,53.75,88.79,40,0,1.45
506,sovetskaya gavan,48.97,62.74,83,0,10.96
507,moron,-34.65,50.0,58,77,5.01
508,rivera,-30.91,45.77,59,96,7.2
509,craig,40.52,54.57,71,1,4.65
510,pyaozerskiy,65.83,63.37,46,50,5.3
511,elk city,35.41,73.27,88,90,26.4
512,namibe,-15.2,62.6,93,75,18.86
513,atherton,53.52,60.26,94,75,7.0
514,luis correia,-2.88,74.84,87,36,12.93
515,banda aceh,5.56,85.53,68,56,7.67
516,meadow lake,34.8,67.32,40,75,6.93
517,somotillo,13.04,73.18,82,87,2.95
518,alice springs,-23.7,55.15,33,0,9.17
519,peniche,39.36,88.34,48,0,1.99
520,corn island,12.17,81.95,79,100,19.19
521,rocha,-34.48,36.91,81,1,5.17
522,baghdad,33.34,111.2,15,0,17.22
523,laje,-10.18,64.83,81,79,12.44
524,yacuiba,-22.04,57.0,59,84,2.71
525,leshukonskoye,64.9,56.21,58,99,9.13
526,katherine,-14.47,80.6,15,21,6.93
527,addanki,15.82,87.4,59,98,13.04
528,anchorage,61.22,58.23,67,75,2.24
529,vestmannaeyjar,63.44,50.0,100,90,19.46
530,scarborough,54.28,62.67,77,55,8.5
531,lovington,32.94,74.46,46,20,6.93
532,harper,4.38,77.38,68,86,6.78
533,bogorodskoye,56.55,59.94,91,100,6.04
534,sayan,-11.14,60.6,56,11,1.05
535,islahiye,37.02,90.14,30,6,6.93
536,chabahar,25.29,87.93,72,4,14.76
537,sinegorye,62.08,64.87,46,60,4.83
538,najibabad,29.63,101.46,34,9,7.52
539,kefamenanu,-9.45,73.2,81,68,6.62
540,ancud,-41.87,49.03,100,90,8.05
541,fez,34.04,91.4,36,63,12.75
542,springdale,36.19,74.12,83,1,4.7
543,mpraeso,6.59,72.28,80,79,4.81
544,raudeberg,61.99,62.69,77,75,13.87
545,sovetsk,55.08,70.39,74,41,8.39
546,kayerkan,69.35,53.6,66,100,20.13
547,aksarka,66.56,60.42,47,1,9.15
548,udachnyy,66.42,66.2,48,75,13.42
549,mahibadhoo,3.78,84.63,71,100,8.75
550,jagdalpur,19.07,81.63,77,97,13.44
551,senador jose porfirio,-2.59,71.47,93,3,3.76
552,lexington,37.99,74.86,69,1,9.17
553,suntar,62.14,76.53,49,9,9.89
554,shingu,33.73,71.6,88,75,5.82
555,inza,53.85,73.69,51,31,12.33
556,marktheidenfeld,49.84,56.71,89,100,1.52
557,fortuna,40.6,51.37,100,1,1.66
558,urumqi,43.8,89.6,25,20,4.47
559,faya,18.39,85.98,17,40,3.36
